St	Ref	Mass
1	1	733
2	1	936
5	1	749
8	1	675
11	1	1024
12	1	1040
13	1	1041
14	1	895
15	1	1098
16	1	1186
17	1	1202
18	1	1057
19	1	691
20	1	587
3	2	587
4	2	383
5	2	749
6	2	512
7	2	675
8	2	675
9	2	966
10	2	878
25	2	221
26	2	1040
27	2	1331
4	3	383
25	3	221
28	3	471
29	3	383
30	3	634
31	3	634
32	3	780
33	3	463
34	3	626
35	3	772
36	3	934
37	3	1080
38	3	667
39	3	813
40	3	1121
41	3	1014
42	3	1014
43	3	1443
57	4	1406
58	4	1406
59	4	1552
60	4	1479
61	4	1406
62	4	1610
63	4	1390
64	4	1536
65	4	1260
66	4	1406
67	4	1552
68	4	1406
51	5	1389
52	5	1405
53	5	1389
54	5	1535
55	5	1551
56	5	1535
21	6	1463
22	6	1447
23	6	1594
24	6	1610
44	6	1552
45	6	1463
46	6	1610
47	6	1610
48	6	1447
49	6	1594
50	6	1699
73	7	936
74	7	1186
75	7	1478
76	7	1625
77	7	1583
78	7	1316
79	7	1421
80	7	1462
69	8	967
70	8	1129
71	8	1332
72	8	1478
81	9	716
82	9	878
83	9	1024
84	9	1024
85	9	1040
86	9	1170
87	9	1243
88	9	1186
89	9	1227
90	10	708
91	10	560
92	10	545
93	10	342
94	10	180
463	10	722
7	11	675
95	11	878
96	11	966
97	11	1169
4	12	383
8	12	675
180	12	675
96	13	966
98	13	1040
99	13	1040
100	13	1477
101	13	1477
102	13	1331
103	13	1121
104	13	1266
105	13	1178
106	13	829
107	13	829
108	13	975
109	13	1412
110	13	1266
111	13	1266
112	13	1266
113	13	1120
114	13	1120
115	13	1120
116	13	1557
117	13	1266
118	13	1411
119	13	958
120	13	1411
121	14	895
122	15	895
5	16	749
53	16	1389
82	16	878
84	16	1024
98	16	1040
99	16	1040
124	16	1081
128	16	1186
129	16	1186
130	16	1040
131	16	1024
132	16	1243
133	16	1243
134	16	1243
96	17	966
102	17	1331
135	17	1843
136	17	1989
102	18	1331
137	18	1697
138	18	2062
139	18	2427
140	18	2793
7	19	675
96	19	966
102	19	1331
63	20	1390
141	20	424
142	20	587
143	20	733
144	20	587
145	20	733
146	20	879
147	20	790
148	20	936
149	20	1082
150	20	1098
151	20	1244
152	20	1390
153	20	952
154	20	1098
155	20	1098
156	20	1244
157	20	1244
158	20	1390
3	21	587
4	21	383
5	21	749
65	21	1260
122	21	895
159	21	529
160	21	749
161	21	895
162	21	1041
163	21	895
164	21	1114
165	21	733
166	21	895
167	21	1041
168	21	1041
169	21	1187
2	22	936
3	22	587
5	22	749
25	22	221
147	22	790
156	22	1244
165	22	733
166	22	895
168	22	1041
169	22	1187
171	22	1244
172	22	1447
173	22	424
174	22	1139
175	22	1082
176	22	936
177	22	529
178	22	587
179	22	733
693	22	628
7	23	675
96	23	966
1	24	733
141	24	424
159	24	529
3	25	587
4	25	383
5	25	749
141	25	424
142	25	587
143	25	733
144	25	587
147	25	790
153	25	952
159	25	529
160	25	749
161	25	895
163	25	895
181	25	936
92	26	545
93	26	342
94	26	180
182	26	870
183	26	708
184	26	342
122	27	895
148	27	936
150	27	1098
154	27	1098
166	27	895
168	27	1041
185	27	952
7	28	675
96	28	966
98	28	1040
99	28	1040
102	28	1331
1	29	733
2	29	936
3	29	587
122	29	895
160	29	749
166	29	895
172	29	1447
185	29	952
186	29	733
187	29	1098
188	29	1301
189	29	1244
190	29	1610
213	29	1260
214	29	1406
215	29	1610
216	29	1813
218	29	2121
219	29	2324
220	29	2283
221	29	2486
222	29	2690
223	29	2893
224	29	3258
225	29	3566
226	29	3973
4262	29	1918
191	30	977
192	30	1034
193	30	1180
194	30	1326
195	30	1733
3	31	587
165	31	733
196	31	1041
197	31	1203
198	31	733
199	31	635
200	31	838
201	31	895
202	31	797
203	31	692
204	31	936
205	31	895
25	32	221
206	32	367
207	32	424
208	32	628
209	32	831
210	32	1326
796	32	774
4219	32	977
4220	32	1034
4221	32	1034
4223	32	1180
4224	32	1326
106	33	829
108	33	975
73	34	936
163	34	895
211	34	774
212	34	733
227	35	301
228	35	504
229	35	813
230	35	870
231	35	1016
232	35	1032
233	35	667
234	35	870
235	35	1016
236	35	1121
237	35	1178
4216	35	504
4217	35	708
4218	35	1178
7	36	675
144	36	587
160	36	749
238	36	587
239	36	911
240	36	1114
241	36	1479
242	36	691
243	36	829
244	36	1056
245	36	1056
246	36	1194
247	36	998
248	36	1485
249	36	1501
250	36	1639
251	36	1947
252	36	1931
253	36	2085
254	36	2027
255	36	2011
256	36	2312
257	36	2296
258	36	2392
259	36	2376
260	36	2530
261	36	2838
262	36	2822
359	36	982
360	36	982
361	36	2757
362	36	2741
421	36	1040
263	37	1291
264	37	1437
265	37	1468
266	38	983
267	38	1129
268	38	1332
28	39	471
269	39	722
246	40	1194
248	40	1485
249	40	1501
270	41	714
271	41	1201
272	41	802
273	41	948
274	41	1110
275	41	1110
276	41	1256
7	42	675
96	42	966
98	42	1040
99	42	1040
102	42	1331
277	42	1040
278	42	1411
279	42	1411
280	42	1534
281	42	1534
282	42	1777
283	42	1697
263	43	1291
264	43	1437
265	43	1468
284	43	1437
285	43	1641
286	43	1583
287	43	926
288	43	926
289	43	780
290	43	926
291	43	926
96	44	966
102	44	1331
547	44	675
2086	44	1040
4	45	383
7	45	675
96	45	966
3	46	587
4	46	383
5	46	749
6	46	512
7	46	675
8	46	675
81	46	716
82	46	878
98	46	1040
129	46	1186
141	46	424
142	46	587
143	46	733
144	46	587
146	46	879
147	46	790
150	46	1098
153	46	952
159	46	529
160	46	749
161	46	895
163	46	895
165	46	733
166	46	895
181	46	936
185	46	952
212	46	733
292	46	749
293	46	790
294	46	790
295	46	952
296	46	1041
297	46	1041
298	46	1098
299	46	1098
300	46	1098
301	46	878
141	47	424
145	47	733
